iter	RMSE
710	0.2650898298
711	0.264977255
712	0.2648308852
713	0.2647037453
714	0.2645287803
715	0.2644054812
716	0.2642481203
717	0.2640838701
718	0.263895681
719	0.2637708198
720	0.2636511257
721	0.2634103476
722	0.2632083001
723	0.2629931181
724	0.2627772738
725	0.2625877085
726	0.2624837032
727	0.2623164331
728	0.262102779
729	0.2618961933
730	0.2616280527
731	0.2614219913
732	0.2612752059
733	0.2611237214
734	0.2609313006
735	0.2606893939
736	0.2605845797
737	0.2604347299
738	0.2602089827
739	0.2601250013
740	0.2599234238
741	0.2597243883
742	0.2595862334
743	0.2593053031
744	0.259029902
745	0.2588039795
746	0.2586466104
747	0.2585828877
748	0.2583618073
749	0.2582376862
750	0.2580406226
751	0.257851921
752	0.2576755769
753	0.2574920274
754	0.2573073065
755	0.2571465281
756	0.2570323005
757	0.256765498
758	0.2566116684
759	0.2564269445
760	0.2562693611
761	0.2560994466
762	0.255980474
763	0.255718443
764	0.2554955888
765	0.2553368767
766	0.2551579422
767	0.2549786361
768	0.2547413126
769	0.2545891901
770	0.2544165532
771	0.2542149826
772	0.2540356157
773	0.2537821143
774	0.2536418832
775	0.2536259253
776	0.2535089597
777	0.2532231687
778	0.253032097
779	0.2528155539
780	0.2526044385
781	0.2524287582
782	0.252323425
783	0.2521296269
784	0.2518966888
785	0.2516615833
786	0.2516468138
787	0.2514328202
788	0.2512523423
789	0.2510781891
790	0.2508080428
791	0.2506968836
792	0.2505424897
793	0.2504070269
794	0.2502906989
795	0.2502622692
796	0.2501103026
797	0.2499943415
798	0.2498859665
799	0.2497189213
800	0.2495463523
801	0.2492892482
802	0.249078772
803	0.2489521836
804	0.2488010666
805	0.2485920416
806	0.2482630434
807	0.2481711175
808	0.2479877777
809	0.247795899
810	0.2475849862
811	0.2474461926
812	0.2472210082
813	0.2470812546
814	0.2468734504
815	0.2466926265
816	0.2464605276
817	0.2462103222
818	0.2460628051
819	0.2459248799
820	0.2457950052
821	0.2455950084
822	0.2453981443
823	0.2452463302
824	0.2451163888
825	0.244958484
826	0.2448906649
827	0.2447334669
828	0.2445051384
829	0.2442273448
830	0.2440586688
831	0.2439495954
832	0.2438028416
833	0.243651827
834	0.2435688182
835	0.2433195347
836	0.2430770098
837	0.2429484322
838	0.2427261169
839	0.2425582526
840	0.2424152579
841	0.2421675909
842	0.2420154305
843	0.2418344728
844	0.2416583239
845	0.2414236469
846	0.2413019038
847	0.2410688658
848	0.2407841379
849	0.2405589948
850	0.2403852956
851	0.2402872839
852	0.2400027421
853	0.2398296464
854	0.2397372902
855	0.2395529472
856	0.2393603964
857	0.2391637286
858	0.2389558789
859	0.2388348332
860	0.2386248239
861	0.2384139385
862	0.2381806013
863	0.2381581093
864	0.2379701397
865	0.2378529339
866	0.2376771411
867	0.2374720512
868	0.2372901354
869	0.2371193447
870	0.2368968129
871	0.2367014241
872	0.2365741944
873	0.2363757033
874	0.2362280091
875	0.2361319956
876	0.2358913687
877	0.2357605445
878	0.2356364996
879	0.2353917268
880	0.2352409349
881	0.2351010127
882	0.2349309679
883	0.2347202146
884	0.2345494834
885	0.2343168498
886	0.2341460558
887	0.233975366
888	0.2337896936
889	0.233554776
890	0.2334386846
891	0.2332429999
892	0.2329887108
893	0.2328575026
894	0.232745622
895	0.2325997535
896	0.2325365913
897	0.2324263153
898	0.2322801164
899	0.2321908942
900	0.2320843465
901	0.2319316398
902	0.2317343008
903	0.2316646803
904	0.2315157699
905	0.2314199508
906	0.2312728978
907	0.2311026427
908	0.230942543
909	0.2307990577
910	0.2305557052
911	0.2304198714
912	0.2302974425
913	0.2301393274
914	0.2299049044
915	0.229771952
916	0.229760179
917	0.229612931
918	0.2294383491
919	0.2293023805
920	0.2290412738
921	0.2288312593
922	0.2287240941
923	0.2285667535
924	0.2283963465
925	0.2282213827
926	0.2280108329
927	0.2278832836
928	0.2277125414
929	0.2273641393
930	0.2272792156
931	0.2271095433
932	0.2269229255
933	0.2269084589
934	0.2267843597
935	0.2265679485
936	0.2264197653
937	0.226291954
938	0.2261906579
939	0.2260780976
940	0.2260363687
941	0.2258274474
942	0.2257996108
943	0.2256223553
944	0.2255264531
945	0.2254993439
946	0.2253408528
947	0.2251954478
948	0.2250825855
949	0.225033376
950	0.224856363
951	0.2248297569
952	0.2247194453
953	0.2245742298
954	0.2243968941
955	0.2242983632
956	0.2240760947
957	0.2238825652
958	0.2237512005
959	0.2235914582
960	0.2234746143
961	0.2232777293
962	0.2230955421
963	0.2229448637
964	0.2228566558
965	0.2227540463
966	0.2225905886
967	0.2225460248
968	0.2224093387
969	0.2222458425
970	0.2220911188
971	0.2219359843
972	0.221755627
973	0.2216269327
974	0.221476667
975	0.2213670657
976	0.2211543854
977	0.2210292494
978	0.2209375846
979	0.2208894742
980	0.2208058421
981	0.2207104735
982	0.2204861478
983	0.2203334317
984	0.2201744903
985	0.2200710217
986	0.2199996165
987	0.2198230813
988	0.2196530157
989	0.2195040694
990	0.2192863723
991	0.2190979971
992	0.2189237735
993	0.2188042697
994	0.218733883
995	0.2186254232
996	0.2184712241
997	0.218359483
998	0.2181739339
999	0.2179981443
